entry_date,entry_price,exit_date,exit_price,PnL,Balance,Cum_PnL
2024-08-05 01:30:00,55151.4,2024-08-05 05:00:00,52880.4,-2338.04,153840.69,53840.68999999999
2024-08-05 05:45:00,52696.4,2024-08-05 07:00:00,51611.8,1084.6,154925.28999999998,54925.289999999986
2024-08-05 07:15:00,52725.3,2024-08-05 12:00:00,50732.4,-1992.9,152932.38999999998,52932.389999999985
2024-08-05 12:15:00,50147.5,2024-08-05 13:45:00,51927.7,-1780.2,151152.19,51152.18999999999
2024-08-05 14:00:00,52981.8,2024-08-05 18:45:00,53082.6,100.8,151252.99,51252.98999999999
2024-08-05 19:00:00,52730.0,2024-08-05 21:15:00,54581.9,-2246.94,149006.05,49006.04999999999
2024-08-05 22:15:00,54895.1,2024-08-06 08:15:00,55395.9,500.8,149506.84999999998,49506.84999999999
2024-08-06 08:30:00,54911.7,2024-08-06 13:45:00,55180.1,-268.4,149238.44999999998,49238.44999999999
2024-08-06 14:00:00,56121.4,2024-08-06 23:45:00,55991.2,-130.2,149108.25,49108.24999999999
2024-08-07 00:00:00,55658.2,2024-08-07 01:30:00,56569.9,-911.7,148196.55,48196.549999999996
2024-08-07 01:45:00,56935.2,2024-08-07 13:45:00,56800.9,-134.3,148062.25,48062.24999999999
2024-08-07 14:00:00,56692.0,2024-08-08 00:45:00,55270.6,1421.4,149483.65,49483.649999999994
2024-08-08 01:00:00,55849.0,2024-08-08 13:15:00,57781.0,1932.0,151415.65,51415.649999999994
2024-08-08 13:30:00,57333.4,2024-08-08 14:00:00,57488.0,-154.6,151261.05,51261.049999999996
2024-08-08 14:15:00,58152.6,2024-08-09 00:15:00,61519.2,3366.6,154627.65,54627.649999999994
2024-08-09 00:30:00,61328.5,2024-08-09 19:30:00,60463.3,865.2,155492.84999999998,55492.84999999999
2024-08-09 19:45:00,60649.5,2024-08-10 02:30:00,60568.0,-81.5,155411.34999999998,55411.34999999999
2024-08-10 02:45:00,60511.6,2024-08-10 07:30:00,60693.2,-181.6,155229.75,55229.74999999999
2024-08-10 07:45:00,60809.5,2024-08-10 12:45:00,60688.9,-120.6,155109.15,55109.149999999994
2024-08-10 13:00:00,60535.9,2024-08-10 17:45:00,60739.0,-203.1,154906.05,54906.049999999996
2024-08-10 18:00:00,61094.0,2024-08-11 03:45:00,61054.8,-39.2,154866.85,54866.85
2024-08-11 04:00:00,60899.9,2024-08-11 07:30:00,61181.0,-281.1,154585.75,54585.75
2024-08-11 07:45:00,61224.9,2024-08-11 09:15:00,61388.0,163.1,154748.85,54748.85
2024-08-11 09:30:00,61099.9,2024-08-12 04:00:00,58455.8,2644.1,157392.95,57392.95
2024-08-12 07:30:00,58647.9,2024-08-12 13:15:00,59505.0,857.1,158250.05,58250.049999999996
2024-08-12 13:30:00,58780.3,2024-08-12 14:00:00,59314.1,-533.8,157716.25,57716.24999999999
2024-08-12 14:15:00,59558.0,2024-08-12 18:00:00,59445.3,-112.7,157603.55,57603.549999999996
2024-08-12 18:15:00,59178.0,2024-08-13 00:00:00,59374.0,-196.0,157407.55,57407.549999999996
2024-08-13 00:15:00,59620.0,2024-08-13 03:45:00,59014.0,-606.0,156801.55,56801.549999999996
2024-08-13 04:00:00,58890.0,2024-08-13 13:30:00,59166.3,-276.3,156525.25,56525.24999999999
2024-08-13 13:45:00,59362.0,2024-08-13 20:30:00,60681.4,1319.4,157844.65,57844.649999999994
2024-08-13 20:45:00,60543.6,2024-08-14 03:00:00,60899.8,-356.2,157488.45,57488.45
2024-08-14 03:15:00,61037.9,2024-08-14 05:45:00,60800.5,-237.4,157251.05,57251.049999999996
2024-08-14 06:00:00,60656.7,2024-08-14 10:00:00,60984.3,-327.6,156923.45,56923.45
2024-08-14 10:15:00,61156.1,2024-08-14 12:45:00,61026.8,-129.3,156794.15,56794.149999999994
2024-08-14 13:00:00,60754.5,2024-08-15 00:00:00,58662.73,2091.77,158885.91999999998,58885.91999999999
2024-08-15 08:45:00,58344.5,2024-08-15 17:30:00,59361.3,1016.8,159902.72,59902.719999999994
2024-08-15 17:45:00,58840.6,2024-08-15 21:30:00,57121.7,1718.9,161621.62,61621.619999999995
2024-08-15 21:45:00,57582.9,2024-08-16 12:15:00,58097.6,514.7,162136.32,62136.31999999999
2024-08-16 12:30:00,57700.0,2024-08-16 13:00:00,58074.3,-374.3,161762.02,61762.01999999999
2024-08-16 13:15:00,58519.1,2024-08-16 22:30:00,59094.0,574.9,162336.91999999998,62336.91999999999
2024-08-16 22:45:00,58939.8,2024-08-17 01:15:00,59216.2,-276.4,162060.52,62060.51999999999
2024-08-17 01:30:00,59355.5,2024-08-17 10:30:00,59166.6,-188.9,161871.62,61871.61999999999
2024-08-17 10:45:00,59077.0,2024-08-17 13:00:00,59300.1,-223.1,161648.52,61648.51999999999
2024-08-17 13:15:00,59370.0,2024-08-17 18:15:00,59367.4,-2.6,161645.91999999998,61645.91999999999
2024-08-17 18:30:00,59291.7,2024-08-17 23:30:00,59357.5,-65.8,161580.12,61580.11999999999
2024-08-17 23:45:00,59468.5,2024-08-18 03:00:00,59701.5,233.0,161813.12,61813.11999999999
2024-08-18 03:15:00,59586.3,2024-08-18 08:30:00,59614.9,-28.6,161784.52,61784.51999999999
2024-08-18 08:45:00,59675.6,2024-08-18 16:45:00,59808.1,132.5,161917.02,61917.01999999999
2024-08-18 17:00:00,59683.9,2024-08-18 20:15:00,59700.1,-16.2,161900.82,61900.81999999999
2024-08-18 20:30:00,59766.8,2024-08-18 21:45:00,59412.6,-460.98,161439.84,61439.83999999999
2024-08-18 22:45:00,59315.1,2024-08-19 09:00:00,58605.7,709.4,162149.24,62149.23999999999
2024-08-19 09:15:00,58597.9,2024-08-19 09:30:00,58531.9,-66.0,162083.24,62083.23999999999
2024-08-19 09:45:00,57977.2,2024-08-19 09:45:00,57977.2,-520.16,161563.08,61563.07999999999
2024-08-19 11:45:00,58360.9,2024-08-19 13:30:00,58560.5,199.6,161762.68,61762.679999999986
2024-08-19 13:45:00,58176.7,2024-08-19 17:00:00,58607.5,-430.8,161331.87999999998,61331.87999999998
2024-08-19 17:15:00,58810.4,2024-08-20 04:00:00,60907.69,2097.29,163429.16999999998,63429.169999999984
2024-08-20 08:00:00,60761.0,2024-08-20 18:15:00,59300.0,1461.0,164890.16999999998,64890.169999999984
2024-08-20 18:30:00,59394.8,2024-08-20 23:30:00,59082.8,-312.0,164578.16999999998,64578.169999999984
2024-08-20 23:45:00,58982.9,2024-08-21 02:15:00,59266.8,-283.9,164294.27,64294.26999999998
2024-08-21 02:30:00,59365.0,2024-08-21 08:45:00,59414.1,49.1,164343.37,64343.36999999998
2024-08-21 09:00:00,59298.8,2024-08-21 13:30:00,59002.9,295.9,164639.27,64639.26999999998
2024-08-21 13:45:00,59904.0,2024-08-21 13:45:00,59904.0,-796.61,163842.65999999997,63842.65999999998
2024-08-22 00:15:00,61012.0,2024-08-22 03:30:00,60349.5,662.5,164505.15999999997,64505.15999999998
2024-08-22 03:45:00,60514.9,2024-08-22 12:45:00,60851.0,336.1,164841.25999999998,64841.25999999998
2024-08-22 13:00:00,60746.9,2024-08-23 00:00:00,60471.0,275.9,165117.15999999997,65117.15999999998
2024-08-23 00:15:00,60649.7,2024-08-23 03:15:00,60565.9,-83.8,165033.36,65033.35999999998
2024-08-23 03:30:00,60565.1,2024-08-23 05:00:00,60868.4,-398.79,164634.56999999998,64634.56999999998
2024-08-23 05:15:00,60979.1,2024-08-23 10:45:00,61020.1,41.0,164675.56999999998,64675.56999999998
2024-08-23 11:00:00,60866.1,2024-08-23 13:45:00,61092.3,-226.2,164449.37,64449.36999999998
2024-08-23 14:00:00,62058.6,2024-08-23 14:00:00,62058.6,-691.91,163757.45999999996,63757.45999999998
